timestamp,instrument,timeframe,direction,setup_type,entry_price,stop_loss,take_profit_1,take_profit_2,quantity,risk_amount,fees,slippage,funding,realized_pnl,account_balance_change
2026-08-31T05:45:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,102.581265,101.87088,103.51868,104.1778,18.57956089,12.25,3.819581,1.909793,0.146594,3.784893,3.784893
2026-08-31T05:45:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2436.727755,2422.77,2454.62,2467.36,0.78216159,9.96,3.829844,1.914927,0.15837,14.026336,14.026336
2026-08-31T15:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,78359.16,77805.528,79091.708,79606.18,0.02436829,12.54,3.826924,1.913464,0.16792,3.971425,3.971425
2026-09-01T14:30:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,78295.978425,77874.14244,78830.91134,79213.6189,0.02439811,9.34,3.809306,1.904651,0.017871,-15.069168,-15.069168
2026-09-02T03:30:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,100.63029,99.9486,101.5271,102.1585,18.95312264,11.97,3.800649,1.900322,0.017801,-17.685773,-17.685773
2026-09-03T11:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,77969.84544,77556.31884,78492.72174,78867.2829,0.0244161,9.15,3.823818,1.911913,0.038832,12.516083,12.516083
2026-09-03T11:45:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,100.940445,99.9486,102.3021,103.2435,18.85982674,17.75,3.841027,1.920523,0.071893,29.675838,29.675838
2026-09-03T16:30:00.000Z,ETHUSDT,15m,SHORT,BEARISH_DIVERGENCE,2490.27424,2499.83952,2479.04072,2470.7212,0.76708447,6.38,3.828798,1.914397,0.023927,-12.148896,-12.148896
2026-09-05T18:30:00.000Z,ETHUSDT,15m,SHORT,BEARISH_DIVERGENCE,2475.06185,2495.5424,2447.4364,2428.194,0.77081796,14.83,3.832393,1.916193,0.161436,-20.742409,-20.742409
2026-09-05T18:30:00.000Z,SOLUSDT,15m,SHORT,BEARISH_DIVERGENCE,103.778085,104.57664,102.71004,101.9634,18.38367067,13.73,3.831286,1.91564,0.196386,-19.669295,-19.669295
2026-09-07T05:45:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,79899.919995,79259.64816,80760.50276,81360.8446,0.02380033,14.29,3.787107,1.89355,0.047375,-20.016365,-20.016365
2026-09-07T20:00:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,104.41218,103.39476,105.80786,106.7731,18.17450087,17.54,3.775848,1.88792,0.064915,-23.271438,-23.271438
2026-09-08T15:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,78679.32,77874.14244,79788.78634,80554.6439,0.02405947,18.43,3.782599,1.891299,0.283699,-7.432443,-7.432443
2026-09-08T15:15:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2490.094425,2471.66364,2514.62954,2531.8159,0.76020516,13.07,3.783184,1.891592,0.283912,-6.848128,-6.848128
2026-09-08T23:15:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,103.4517,102.84696,104.22956,104.7826,18.26774579,10.1,3.797965,1.898988,0.153987,14.354648,14.354648
2026-09-09T12:15:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2502.360555,2479.95036,2532.84946,2554.0091,0.7564847,16.01,3.768104,1.884048,0.071057,-21.730152,-21.730152
2026-09-10T03:15:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,101.980965,101.32308,102.84038,103.4473,18.51962532,11.24,3.764177,1.882085,0.100228,-16.986421,-16.986421
2026-09-10T03:15:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,78418.36959,77874.14244,79136.73634,79641.7739,0.02408427,12.16,3.763253,1.881624,0.176624,-17.984962,-17.984962
2026-09-10T17:15:00.000Z,ETHUSDT,15m,LONG,BREAKOUT_RETEST,2454.676725,2439.78168,2473.95248,2487.6208,0.76655776,10.48,3.769746,1.884875,0.067845,2.605878,2.605878
2026-09-11T13:00:00.000Z,BTCUSDT,15m,LONG,BREAKOUT_RETEST,78069.89544,77453.95992,78896.26012,79473.1802,0.02410882,13.91,3.748563,1.874278,0.017563,-19.549266,-19.549266
2026-09-11T20:30:00.000Z,SOLUSDT,15m,LONG,BREAKOUT_RETEST,102.561255,102.02028,103.24458,103.7343,18.31355433,8.97,3.745681,1.872838,0.011737,-14.59877,-14.59877
